Police Station,Latitude,Longitude
PS CIVIL LINES,28.6890036,77.2217181
PS TIMAR PUR,28.7065559,77.2241975
PS ROOP NAGAR,28.6848582,77.2025435
PS SARAI ROHILLA,28.6688069,77.1834338
PS BARA HINDU RAO,28.6656794,77.2081428
PS GULABI BAGH,28.6697732,77.1923634
PS MAURICE NAGAR,28.6925384,77.2069901
PS LAHORI GATE,28.6556548,77.2189639
PS SADAR BAZAR,28.6540994,77.2108743
PS SUBZI MANDI,28.6693855,77.2074478
PS BURARI,28.7366215,77.1970976
PS KOTWALI,28.6585669,77.2311665
PS KASHMERE GATE,28.6627971,77.231063
PS KAROL BAGH,28.6522586,77.1928591
PS D.B.G.ROAD,28.6528663,77.1932999
PS DARYA GANJ,28.6419774,77.2408336
PS I.P. ESTATE,28.6271868,77.24742
PS RAJINDER NAGAR,28.6347463,77.182831
PS PARSHAD NAGAR,28.6479689,77.1807387
PS NABI KARIM,28.6497358,77.2173521
PS KAMLA MARKET,28.6422216,77.2262106
PS HAUZ QAZI,28.6498882,77.2257729
PS JAMA MASJID,28.6528612,77.2340546
PS CHANDNI MAHAL,28.6436547,77.2362049
PS ANAND PARBAT,28.6595491,77.1745147
PS PATEL NAGAR,28.6523319,77.1578745
PS PAHAR GANJ,28.6456026,77.2089105
PS ASHOK VIHAR,28.6925229,77.1737643
PS ADARSH NAGAR,28.70998700000001,77.1752284
PS JAHANGIR PURI,28.7335973,77.1752291
PS SHALIMAR BAGH,28.7171097,77.1571577
PS SUBHASH PLACE,28.6892882,77.1441492
PS MODEL TOWN,28.7023621,77.1937399
PS SWARUP NAGAR,28.7585547,77.1561302
PS FARASH BAZAR,28.6650097,77.2863966
PS MANDAWALI,28.6252562,77.3063738
PS MAYUR VIHAR,28.6071228,77.3040968
PS SEEMA PURI,28.6779134,77.3162599
PS SHAHDARA,28.6745019,77.2851504
PS SEELAM PUR,28.6744562,77.2676466
PS GOKUL PURI,28.7024409,77.286466
PS KHAJURI KHAS,28.7133419,77.2547673
PS BHAJAN PURA,28.7011244,77.264855
PS NAND NAGRI,28.6973773,77.3076845
PS KARAWAL NAGAR,28.7328459,77.2751812
PS NEW USMAN PUR,28.6726032,77.2619612
PS HARSH VIHAR,28.7058868,77.3186284
PS DEFENCE COLONY,28.5648616,77.2330768
PS LODHI COLONY,28.5879818,77.2263869
PS HAUZ KHAS,28.5491609,77.20824
PS VASANT VIHAR,28.5581465,77.1691535
PS R.K.PURAM,28.5705215,77.1785559
PS SAROJINI NAGAR,28.5745554,77.1994586
PS VASANT KUNJ NORTH,28.5352237,77.1518159
PS KOTLA MUBARAK PUR,28.5760123,77.2251092
PS SAKET,28.5262496,77.2169771
PS NEB SARAI,28.4989433,77.2138967
PS MALVIYA NAGAR,28.5307629,77.2045739
PS NAJAFGARH,28.60996400000001,76.9829968
PS KAPASHERA,28.5295042,77.087363
PS DELHI CANTT.,28.59897,77.1239359
PS NARAINA,28.6331459,77.1375874
PS DABRI,28.613091,77.085569
PS DWARKA SEC-23,28.5646858,77.0581247
PS BINDA PUR,28.6116861,77.0767921
PS MAURYA ENCLAVE,28.70026500000001,77.1461137
PS KESHAV PURAM,28.6838831,77.1596387
PS MUKHERJI NAGAR,28.7000271,77.2088329
PS BAWANA,28.7965475,77.0416937
PS NARELA,28.8532894,77.0880464
PS ALI PUR,28.7989271,77.1386959
PS KANJHAWALA,28.7255557,77.0033061
PS SAMAIPUR BADLI,28.7250883,77.1413764
PS MANGOL PURI,28.6963453,77.0914815
PS SULTAN PURI,28.7028222,77.0789438
PS PARSHANT VIHAR,28.7178918,77.1273085
PS SHAHBAD DAIRY,28.7476203,77.0788387
PS BUDH VIHAR,28.7174459,77.1080145
PS PARLIAMENT STREET,28.6249243,77.2130074
PS CHANAKYA PURI,28.6030509,77.1959079
PS TUGLAK ROAD,28.5979859,77.210571
PS TILAK MARG,28.6179586,77.2354392
PS CONNAUGHT PLACE,28.6299111,77.2141392
PS BARAKHAMBA ROAD,28.6306772,77.2257544
PS MANDIR MARG,28.6390665,77.2032679
PS JAGAT PURI,28.6438298,77.2838032
PS PANDAV NAGAR,28.6201584,77.3028118
PS KALYAN PURI,28.6132579,77.3175012
PS GEETA COLONY,28.6553387,77.2760615
PS VIVEK VIHAR,28.6669815,77.3064175
PS KRISHNA NAGAR,28.6672157,77.2802221
PS SHAKAR PUR,28.6373766,77.2706621
PS GANDHI NAGAR,28.6599666,77.2676243
PS NEW ASHOK NAGAR,28.6037645,77.3234365
PS BEGUM PUR,28.7223213,77.0726142
PS SOUTH CAMPUS,28.570619,77.1785889
PS FATEHPUR BERI,28.46541240000001,77.1507723
PS PUL PRAHLAD PUR,28.5019406,77.2907133
PS INDER PURI,28.6310983,77.1451802
PS PALAM VILLAGE,28.5882737,77.0829131
PS JAFFARPUR KALAN,28.5958773,76.914548
PS CHHAWLA,28.5868774,76.9950081
PS LAJPAT NAGAR,28.5683858,77.2403994
PS KALKAJI,28.5470259,77.2559679
PS OKHLA INDL. AREA,28.5271264,77.2744829
PS SANGAM VIHAR,28.509647,77.2434007
PS H.N.DIN,28.5922404,77.2437789
PS JAMIA NAGAR,28.5619285,77.2921969
PS CHITRANJAN PARK,28.5367953,77.2492756
PS GREATER KAILASH,28.5462728,77.2432857
PS AMBEDKAR NAGAR,28.5235428,77.2407504
PS BADAR PUR,28.4938049,77.3038557
PS SARITA VIHAR,28.5402597,77.2814924
PS NEW FRIENDS COLONY,28.562371,77.2674027
PS AMAR COLONY,28.5593152,77.2406462
PS JAITPUR,28.5037251,77.3196082
PS GOVIND PURI,28.5307476,77.2656643
PS PUNJABI BAGH,28.6741777,77.1321312
PS PASCHIM VIHAR EAST,28.670992,77.1009645
PS MOTI NAGAR,28.6604639,77.1467479
PS RAJOURI GARDEN,28.651498,77.1199405
PS SAGAR PUR,28.6094773,77.0998385
PS UTTAM NAGAR,28.6253591,77.0648647
PS JANAK PURI,28.6284002,77.0818593
PS TILAK NAGAR,28.6386469,77.1019308
PS KIRTI NAGAR,28.6402339,77.1353084
PS VIKAS PURI,28.6302022,77.0681776
PS MAYA PURI,28.6266733,77.121477
PS NANGLOI,28.6817634,77.0669817
PS NIHAL VIHAR,28.6649193,77.0712738
PS KHYALA,28.651773,77.0964194
PS MEHRAULI,28.5217342,77.1799951
PS PREET VIHAR,28.63876,77.2952597
PS MADHU VIHAR,28.6251642,77.306125
PS JAFFRABAD,28.6790474,77.2728727
PS SONIA VIHAR,28.7459619,77.2458753
PS JYOTI NAGAR,28.696443,77.2909364
PS BHALSWA DAIRY,28.7427183,77.1655833
PS BHARAT NAGAR,28.6804957,77.1781408
PS RANI BAGH,28.6976142,77.1192169
PS MAHENDRA PARK,28.7256535,77.1640754
PS K.N. KATJU MARG,28.7309856,77.1209558
PS NORTH ROHINI,28.7088597,77.1179044
PS SOUTH ROHINI,28.7023636,77.1155834
PS AMAN VIHAR,28.7181969,77.0645148
PS DWARKA NORTH,28.5910626,77.0283106
PS RANHOLA,28.6539228,77.0356073
PS RANJIT NAGAR,28.6474441,77.1586106
PS SUNLIGHT COLONY,28.5781562,77.2600383
PS VASANT KUNJ SOUTH,28.5353347,77.1516235
PS SAFDARJUNG ENCLAVE,28.574319,77.1994672
PS PASCHIM VIHAR WEST,28.6682652,77.0876514
PS DOMESTIC AIRPORT,28.56482,77.1218668
PS IGI AIRPORT,28.5541988,77.0912658
PS MUNDKA,28.6707033,76.9605492
PS MANSAROVER PARK,28.6829761,77.2984914
PS G.T.B.ENCLAVE,28.6856021,77.3158649
PS GHAZIPUR,28.6246442,77.3324677
PS BABA HARIDAS NAGAR,28.6389792,76.9611726
PS DWARKA SOUTH,28.5779942,77.066624
PS OLD DELHI RAILWAY STATION,28.660612,77.2294433
PS ANAND VIHAR RAILWAY STATION,28.648388,77.3150238
PS METRO STATION KASHMERE GATE,28.6661434,77.2263821
PS NEW DELHI RAILWAY STATION,28.6439206,77.2189082
PS METRO STATION RITHALA,28.7196629,77.107721
PS METRO STATION SHASTRI PARK,28.6687451,77.2492781
PS HAZRAT NIZAMUDIN RAILWAY STATION,28.5881708,77.2534625
PS METRO STATION RAJA GARDEN,28.6499735,77.1221187
PS SPL.CELL,28.5880128,77.2272662
PS CAW CELL,28.5308834,77.1993488
PS CRIME BRANCH,28.5170518,77.2214684
PS SARAI ROHILLA RAILWAY STATION,28.6627823,77.1856867
PS METRO STATION GHITORNI,28.4940162,77.1493724
PS WELCOME,28.6818112,77.2784057
